============================================================
z_global + minSize (F4, F7, F8)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
|            |               ||            |               || (198,  6) |  6.000, 6.000 |
|            |               ||            |               || (199,  4) |  4.000, 4.000 |
|            |               ||            |               || (199,  5) |  5.000, 5.000 |
|            |               ||            |               || (199,  6) |  6.000, 6.000 |
|            |               ||            |               || (200,  4) |  4.000, 4.000 |
|            |               ||            |               || (200,  5) |  5.000, 5.000 |
|            |               ||            |               || (200,  6) |  6.000, 6.000 |
|            |               ||            |               || (201,  4) |  4.000, 4.000 |
|            |               ||            |               || (201,  5) |  5.000, 5.000 |
|            |               ||            |               || (201,  6) |  6.000, 6.000 |
|            |               ||            |               || (202,  4) |  4.000, 4.000 |
|            |               ||            |               || (202,  5) |  5.000, 5.000 |
|            |               ||            |               || (202,  6) |  6.000, 6.000 |
|            |               ||            |               || (203,  4) |  4.000, 4.000 |
|            |               ||            |               || (203,  5) |  5.000, 5.000 |
|            |               ||            |               || (203,  6) |  6.000, 6.000 |
|            |               ||            |               || (204,  4) |  4.000, 3.892 |
|            |               ||            |               || (204,  5) |  5.000, 4.897 |
|            |               ||            |               || (204,  6) |  6.000, 5.903 |
|            |               ||            |               || (205,  4) |  4.108, 3.597 |
|            |               ||            |               || (205,  5) |  5.102, 4.619 |
|            |               ||            |               || (206,  4) |  4.395, 3.294 |
|            |               ||            |               || (206,  5) |  5.373, 4.333 |
|            |               ||            |               || (207,  5) |  5.643, 4.043 |
|            |               ||            |               || (208,  5) |  5.909, 3.748 |
|            |               ||            |               || (254,  4) |  5.182, 3.282 |
|            |               ||            |               || (255,  4) |  4.690, 3.729 |
|            |               ||            |               || (255,  5) |  5.653, 4.744 |
|            |               ||            |               || (256,  4) |  4.267, 4.000 |
|            |               ||            |               || (256,  5) |  5.253, 5.000 |
|            |               ||            |               || (257,  4) |  4.000, 4.000 |
|            |               ||            |               || (257,  5) |  5.000, 5.000 |
|            |               ||            |               || (258,  4) |  4.000, 4.000 |
|            |               ||            |               || (258,  5) |  5.000, 5.000 |
|            |               ||            |               || (259,  4) |  4.000, 4.000 |
|            |               ||            |               || (259,  5) |  5.000, 5.000 |

============================================================
z_global - minSize (F2, F5, F6)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
---------------------------------------------------------------------------------------------
| (  7,  7) |      5.912461 || (  7,  4) |      3.729109 || (  3,  4) |  3.000, 3.000 |
| (  8,  6) |      4.432046 || (  8,  4) |      4.248206 || (  3,  5) |  4.054, 4.054 |
| (  8,  7) |      5.518452 || (  9,  4) |      4.876608 || (  3,  6) |  5.105, 5.105 |
| (  9,  6) |      3.921325 || (  9,  5) |      5.828927 || (  4,  4) |  3.000, 3.000 |
| (  9,  7) |      5.038016 || ( 10,  4) |      5.599917 || (  4,  5) |  4.054, 4.054 |
| ( 10,  6) |      3.263065 || ( 48,  4) |      5.983564 || (  4,  6) |  5.105, 5.105 |
| ( 10,  7) |      4.420034 || ( 49,  4) |      5.714561 || (  5,  4) |  3.000, 3.000 |
| ( 10,  8) |      5.567009 || ( 50,  4) |      5.443387 || (  5,  5) |  4.054, 4.054 |
| ( 11,  7) |      3.653874 || ( 51,  4) |      5.169597 || (  5,  6) |  5.105, 5.105 |
| ( 11,  8) |      4.849062 || ( 52,  4) |      4.892729 || (  6,  4) |  3.000, 3.282 |
| ( 12,  8) |      3.982272 || ( 52,  5) |      5.844685 || (  6,  5) |  4.054, 4.320 |
| ( 12,  9) |      5.220936 || ( 53,  4) |      4.612299 || (  6,  6) |  5.105, 5.356 |
| ( 13,  9) |      4.286678 || ( 53,  5) |      5.578782 || (  7,  5) |  3.784, 4.742 |
| ( 13, 10) |      5.571876 || ( 54,  4) |      4.327799 || (  7,  6) |  4.850, 5.755 |
| ( 14,  9) |      3.381094 || ( 55,  4) |      4.038691 || (  8,  5) |  3.340, 5.233 |
| ( 14, 10) |      4.730146 || ( 56,  4) |      3.744406 || ( 54,  5) |  3.071, 5.309 |
| ( 15, 10) |      3.985676 || ( 57,  4) |      3.447437 || ( 55,  5) |  3.378, 5.036 |
| ( 15, 11) |      5.362820 || (206,  7) |      5.820597 || ( 56,  5) |  3.680, 4.757 |
| ( 16, 10) |      3.350593 || (207,  6) |      4.468177 || ( 56,  6) |  4.752, 5.769 |
| ( 16, 11) |      4.775279 || (207,  7) |      5.553014 || ( 57,  5) |  3.976, 4.477 |
| ( 17, 11) |      4.298763 || (208,  6) |      4.179008 || ( 57,  6) |  5.032, 5.504 |
| ( 17, 12) |      5.726494 || (208,  7) |      5.280861 || ( 58,  4) |  3.223, 3.336 |
| ( 18, 11) |      3.937053 || (209,  6) |      3.884117 || ( 58,  5) |  4.265, 4.371 |
| ( 18, 12) |      5.392612 || (209,  7) |      5.003597 || ( 58,  6) |  5.304, 5.405 |
| ( 19, 11) |      3.682667 || (210,  6) |      3.582865 || ( 59,  4) |  3.336, 3.336 |
| ( 19, 12) |      5.158126 || (210,  7) |      4.720642 || ( 59,  5) |  4.371, 4.371 |
| ( 20, 11) |      3.530570 || (210,  8) |      5.849783 || ( 59,  6) |  5.405, 5.405 |
| ( 20, 12) |      5.018066 || (211,  6) |      3.274565 || ( 60,  4) |  3.336, 3.336 |
| ( 21, 11) |      3.478192 || (211,  7) |      4.431375 || ( 60,  5) |  4.371, 4.371 |
| ( 21, 12) |      4.969873 || (211,  8) |      5.578203 || ( 60,  6) |  5.405, 5.405 |
| ( 22, 11) |      3.521245 || (212,  7) |      4.135128 || ( 61,  4) |  3.336, 3.336 |
| ( 22, 12) |      5.009534 || (212,  8) |      5.300355 || ( 61,  5) |  4.371, 4.371 |
| ( 23, 11) |      3.654072 || (213,  7) |      3.831180 || ( 61,  6) |  5.405, 5.405 |
| ( 23, 12) |      5.131887 || (213,  8) |      5.015589 || ( 62,  4) |  3.336, 3.336 |
| ( 24, 11) |      3.864834 || (214,  7) |      3.518749 || ( 62,  5) |  4.371, 4.371 |
| ( 24, 12) |      5.326162 || (214,  8) |      4.723202 || ( 62,  6) |  5.405, 5.405 |
| ( 25, 11) |      4.090967 || (214,  9) |      5.914141 || ( 63,  4) |  3.336, 3.336 |
| ( 25, 12) |      5.534806 || (215,  7) |      3.196982 || ( 63,  5) |  4.371, 4.371 |
| ( 26, 11) |      4.297238 || (215,  8) |      4.422430 || ( 63,  6) |  5.405, 5.405 |
| ( 26, 12) |      5.725306 || (215,  9) |      5.632734 || ( 64,  4) |  3.336, 3.336 |
| ( 27, 10) |      3.035513 || (216,  8) |      4.112438 || ( 64,  5) |  4.371, 4.371 |
| ( 27, 11) |      4.484643 || (216,  9) |      5.343029 || ( 64,  6) |  5.405, 5.405 |
| ( 27, 12) |      5.898530 || (217,  8) |      3.792316 || ( 65,  4) |  3.336, 3.336 |
| ( 28, 10) |      3.219551 || (217,  9) |      5.044211 || ( 65,  5) |  4.371, 4.371 |
| ( 28, 11) |      4.654530 || (218,  8) |      3.462227 || ( 65,  6) |  5.405, 5.405 |
| ( 29, 10) |      3.385778 || (218,  9) |      4.736471 || ( 66,  4) |  3.336, 3.336 |
| ( 29, 11) |      4.808095 || (218, 10) |      5.991612 || ( 66,  5) |  4.371, 4.371 |
| ( 30, 10) |      3.535385 || (219,  8) |      3.136808 || ( 66,  6) |  5.405, 5.405 |
| ( 30, 11) |      4.946401 || (219,  9) |      4.433472 || ( 67,  4) |  3.336, 3.336 |
| ( 31, 10) |      3.669431 || (219, 10) |      5.709134 || ( 67,  5) |  4.371, 4.371 |
| ( 31, 11) |      5.070398 || (220,  9) |      4.145953 || ( 67,  6) |  5.405, 5.405 |
| ( 32, 10) |      3.788865 || (220, 10) |      5.441394 || ( 68,  4) |  3.336, 3.336 |
| ( 32, 11) |      5.180940 || (221,  9) |      3.875346 || ( 68,  5) |  4.371, 4.371 |
| ( 33, 10) |      3.894537 || (221, 10) |      5.189678 || ( 68,  6) |  5.405, 5.405 |
| ( 33, 11) |      5.278792 || (222,  9) |      3.622994 || ( 69,  4) |  3.336, 3.336 |
| ( 34, 10) |      3.988171 || (222, 10) |      4.955189 || ( 69,  5) |  4.371, 4.371 |
| ( 34, 11) |      5.365535 || (223,  9) |      3.390358 || ( 69,  6) |  5.405, 5.405 |
| ( 35, 10) |      4.089820 || (223, 10) |      4.739230 || ( 70,  4) |  3.336, 3.336 |
| ( 35, 11) |      5.459741 || (224,  9) |      3.179000 || ( 70,  5) |  4.371, 4.371 |
| ( 36, 10) |      4.216923 || (224, 10) |      4.543201 || ( 70,  6) |  5.405, 5.405 |
| ( 36, 11) |      5.577587 || (224, 11) |      5.880376 || ( 71,  4) |  3.336, 3.336 |
| ( 37, 10) |      4.368583 || (225, 10) |      4.368583 || ( 71,  5) |  4.371, 4.371 |
| ( 37, 11) |      5.718279 || (225, 11) |      5.718279 || ( 71,  6) |  5.405, 5.405 |
| ( 38,  9) |      3.179000 || (226, 10) |      4.216923 || ( 72,  4) |  3.336, 3.336 |
| ( 38, 10) |      4.543201 || (226, 11) |      5.577587 || ( 72,  5) |  4.371, 4.371 |
| ( 38, 11) |      5.880376 || (227, 10) |      4.089820 || ( 72,  6) |  5.405, 5.405 |
| ( 39,  9) |      3.390358 || (227, 11) |      5.459741 || ( 73,  4) |  3.336, 3.336 |
| ( 39, 10) |      4.739230 || (228, 10) |      3.988171 || ( 73,  5) |  4.371, 4.371 |
| ( 40,  9) |      3.622994 || (228, 11) |      5.365535 || ( 73,  6) |  5.405, 5.405 |
| ( 40, 10) |      4.955189 || (229, 10) |      3.894537 || ( 74,  4) |  3.336, 3.336 |
| ( 41,  9) |      3.875346 || (229, 11) |      5.278792 || ( 74,  5) |  4.371, 4.371 |
| ( 41, 10) |      5.189678 || (230, 10) |      3.788865 || ( 74,  6) |  5.405, 5.405 |
| ( 42,  9) |      4.145953 || (230, 11) |      5.180940 || ( 75,  4) |  3.336, 3.336 |
| ( 42, 10) |      5.441394 || (231, 10) |      3.669431 || ( 75,  5) |  4.371, 4.371 |
| ( 43,  8) |      3.136808 || (231, 11) |      5.070398 || ( 75,  6) |  5.405, 5.405 |
| ( 43,  9) |      4.433472 || (232, 10) |      3.535385 || ( 76,  4) |  3.336, 3.336 |
| ( 43, 10) |      5.709134 || (232, 11) |      4.946401 || ( 76,  5) |  4.371, 4.371 |
| ( 44,  8) |      3.462227 || (233, 10) |      3.385778 || ( 76,  6) |  5.405, 5.405 |
| ( 44,  9) |      4.736471 || (233, 11) |      4.808095 || ( 77,  4) |  3.336, 3.336 |
| ( 44, 10) |      5.991612 || (234, 10) |      3.219551 || ( 77,  5) |  4.371, 4.371 |
| ( 45,  8) |      3.792316 || (234, 11) |      4.654530 || ( 77,  6) |  5.405, 5.405 |
| ( 45,  9) |      5.044211 || (235, 10) |      3.035513 || ( 78,  4) |  3.336, 3.336 |
| ( 46,  8) |      4.112438 || (235, 11) |      4.484643 || ( 78,  5) |  4.371, 4.371 |
| ( 46,  9) |      5.343029 || (235, 12) |      5.898530 || ( 78,  6) |  5.405, 5.405 |
| ( 47,  7) |      3.196982 || (236, 11) |      4.297238 || ( 79,  4) |  3.336, 3.336 |
| ( 47,  8) |      4.422430 || (236, 12) |      5.725306 || ( 79,  5) |  4.371, 4.371 |
| ( 47,  9) |      5.632734 || (237, 11) |      4.090967 || ( 79,  6) |  5.405, 5.405 |
| ( 48,  7) |      3.518749 || (237, 12) |      5.534806 || ( 80,  4) |  3.336, 3.336 |
| ( 48,  8) |      4.723202 || (238, 11) |      3.864834 || ( 80,  5) |  4.371, 4.371 |
| ( 48,  9) |      5.914141 || (238, 12) |      5.326162 || ( 80,  6) |  5.405, 5.405 |
| ( 49,  7) |      3.831180 || (239, 11) |      3.654072 || ( 81,  4) |  3.336, 3.336 |
| ( 49,  8) |      5.015589 || (239, 12) |      5.131887 || ( 81,  5) |  4.371, 4.371 |
| ( 50,  7) |      4.135128 || (240, 11) |      3.521245 || ( 81,  6) |  5.405, 5.405 |
| ( 50,  8) |      5.300355 || (240, 12) |      5.009534 || ( 82,  4) |  3.336, 3.336 |
| ( 51,  6) |      3.274565 || (241, 11) |      3.478192 || ( 82,  5) |  4.371, 4.371 |
| ( 51,  7) |      4.431375 || (241, 12) |      4.969873 || ( 82,  6) |  5.405, 5.405 |
| ( 51,  8) |      5.578203 || (242, 11) |      3.530570 || ( 83,  4) |  3.336, 3.336 |
| ( 52,  6) |      3.582865 || (242, 12) |      5.018066 || ( 83,  5) |  4.371, 4.371 |
| ( 52,  7) |      4.720642 || (243, 11) |      3.682667 || ( 83,  6) |  5.405, 5.405 |
| ( 52,  8) |      5.849783 || (243, 12) |      5.158126 || ( 84,  4) |  3.336, 3.336 |
| ( 53,  6) |      3.884117 || (244, 11) |      3.937053 || ( 84,  5) |  4.371, 4.371 |
| ( 53,  7) |      5.003597 || (244, 12) |      5.392612 || ( 84,  6) |  5.405, 5.405 |
| ( 54,  6) |      4.179008 || (245, 11) |      4.298763 || ( 85,  4) |  3.336, 3.336 |
| ( 54,  7) |      5.280861 || (245, 12) |      5.726494 || ( 85,  5) |  4.371, 4.371 |
| ( 55,  6) |      4.468177 || (246, 10) |      3.350593 || ( 85,  6) |  5.405, 5.405 |
| ( 55,  7) |      5.553014 || (246, 11) |      4.775279 || ( 86,  4) |  3.336, 3.336 |
| ( 56,  7) |      5.820597 || (247, 10) |      3.985676 || ( 86,  5) |  4.371, 4.371 |
| (205,  4) |      3.447437 || (247, 11) |      5.362820 || ( 86,  6) |  5.405, 5.405 |
| (206,  4) |      3.744406 || (248,  9) |      3.381094 || ( 87,  4) |  3.336, 3.336 |
| (207,  4) |      4.038691 || (248, 10) |      4.730146 || ( 87,  5) |  4.371, 4.371 |
| (208,  4) |      4.327799 || (249,  9) |      4.286678 || ( 87,  6) |  5.405, 5.405 |
| (209,  4) |      4.612299 || (249, 10) |      5.571876 || ( 88,  4) |  3.336, 3.336 |
| (209,  5) |      5.578782 || (250,  8) |      3.982272 || ( 88,  5) |  4.371, 4.371 |
| (210,  4) |      4.892729 || (250,  9) |      5.220936 || ( 88,  6) |  5.405, 5.405 |
| (210,  5) |      5.844685 || (251,  7) |      3.653874 || ( 89,  4) |  3.336, 3.336 |
| (211,  4) |      5.169597 || (251,  8) |      4.849062 || ( 89,  5) |  4.371, 4.371 |
| (212,  4) |      5.443387 || (252,  6) |      3.263065 || ( 89,  6) |  5.405, 5.405 |
| (213,  4) |      5.714561 || (252,  7) |      4.420034 || ( 90,  4) |  3.336, 3.336 |
| (214,  4) |      5.983564 || (252,  8) |      5.567009 || ( 90,  5) |  4.371, 4.371 |
| (252,  4) |      5.599917 || (253,  6) |      3.921325 || ( 90,  6) |  5.405, 5.405 |
| (253,  4) |      4.876608 || (253,  7) |      5.038016 || ( 91,  4) |  3.336, 3.336 |
| (253,  5) |      5.828927 || (254,  6) |      4.432046 || ( 91,  5) |  4.371, 4.371 |
| (254,  4) |      4.248206 || (254,  7) |      5.518452 || ( 91,  6) |  5.405, 5.405 |
| (255,  4) |      3.729109 || (255,  7) |      5.912461 || ( 92,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 92,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 92,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 93,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 93,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 93,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 94,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 94,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 94,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 95,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 95,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 95,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 96,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 96,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 96,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 97,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 97,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 97,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 98,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 98,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 98,  6) |  5.405, 5.405 |
|           |               ||           |               || ( 99,  4) |  3.336, 3.336 |
|           |               ||           |               || ( 99,  5) |  4.371, 4.371 |
|           |               ||           |               || ( 99,  6) |  5.405, 5.405 |
|           |               ||           |               || (100,  4) |  3.336, 3.336 |
|           |               ||           |               || (100,  5) |  4.371, 4.371 |
|           |               ||           |               || (100,  6) |  5.405, 5.405 |
|           |               ||           |               || (101,  4) |  3.336, 3.336 |
|           |               ||           |               || (101,  5) |  4.371, 4.371 |
|           |               ||           |               || (101,  6) |  5.405, 5.405 |
|           |               ||           |               || (102,  4) |  3.336, 3.336 |
|           |               ||           |               || (102,  5) |  4.371, 4.371 |
|           |               ||           |               || (102,  6) |  5.405, 5.405 |
|           |               ||           |               || (103,  4) |  3.336, 3.336 |
|           |               ||           |               || (103,  5) |  4.371, 4.371 |
|           |               ||           |               || (103,  6) |  5.405, 5.405 |
|           |               ||           |               || (104,  4) |  3.336, 3.336 |
|           |               ||           |               || (104,  5) |  4.371, 4.371 |
|           |               ||           |               || (104,  6) |  5.405, 5.405 |
|           |               ||           |               || (105,  4) |  3.336, 3.336 |
|           |               ||           |               || (105,  5) |  4.371, 4.371 |
|           |               ||           |               || (105,  6) |  5.405, 5.405 |
|           |               ||           |               || (106,  4) |  3.336, 3.336 |
|           |               ||           |               || (106,  5) |  4.371, 4.371 |
|           |               ||           |               || (106,  6) |  5.405, 5.405 |
|           |               ||           |               || (107,  4) |  3.336, 3.336 |
|           |               ||           |               || (107,  5) |  4.371, 4.371 |
|           |               ||           |               || (107,  6) |  5.405, 5.405 |
|           |               ||           |               || (108,  4) |  3.336, 3.336 |
|           |               ||           |               || (108,  5) |  4.371, 4.371 |
|           |               ||           |               || (108,  6) |  5.405, 5.405 |
|           |               ||           |               || (109,  4) |  3.336, 3.336 |
|           |               ||           |               || (109,  5) |  4.371, 4.371 |
|           |               ||           |               || (109,  6) |  5.405, 5.405 |
|           |               ||           |               || (110,  4) |  3.336, 3.336 |
|           |               ||           |               || (110,  5) |  4.371, 4.371 |
|           |               ||           |               || (110,  6) |  5.405, 5.405 |
|           |               ||           |               || (111,  4) |  3.336, 3.336 |
|           |               ||           |               || (111,  5) |  4.371, 4.371 |
|           |               ||           |               || (111,  6) |  5.405, 5.405 |
|           |               ||           |               || (112,  4) |  3.336, 3.336 |
|           |               ||           |               || (112,  5) |  4.371, 4.371 |
|           |               ||           |               || (112,  6) |  5.405, 5.405 |
|           |               ||           |               || (113,  4) |  3.336, 3.336 |
|           |               ||           |               || (113,  5) |  4.371, 4.371 |
|           |               ||           |               || (113,  6) |  5.405, 5.405 |
|           |               ||           |               || (114,  4) |  3.336, 3.336 |
|           |               ||           |               || (114,  5) |  4.371, 4.371 |
|           |               ||           |               || (114,  6) |  5.405, 5.405 |
|           |               ||           |               || (115,  4) |  3.336, 3.336 |
|           |               ||           |               || (115,  5) |  4.371, 4.371 |
|           |               ||           |               || (115,  6) |  5.405, 5.405 |
|           |               ||           |               || (116,  4) |  3.336, 3.336 |
|           |               ||           |               || (116,  5) |  4.371, 4.371 |
|           |               ||           |               || (116,  6) |  5.405, 5.405 |
|           |               ||           |               || (117,  4) |  3.336, 3.336 |
|           |               ||           |               || (117,  5) |  4.371, 4.371 |
|           |               ||           |               || (117,  6) |  5.405, 5.405 |
|           |               ||           |               || (118,  4) |  3.336, 3.336 |
|           |               ||           |               || (118,  5) |  4.371, 4.371 |
|           |               ||           |               || (118,  6) |  5.405, 5.405 |
|           |               ||           |               || (119,  4) |  3.336, 3.336 |
|           |               ||           |               || (119,  5) |  4.371, 4.371 |
|           |               ||           |               || (119,  6) |  5.405, 5.405 |
|           |               ||           |               || (120,  4) |  3.336, 3.336 |
|           |               ||           |               || (120,  5) |  4.371, 4.371 |
|           |               ||           |               || (120,  6) |  5.405, 5.405 |
|           |               ||           |               || (121,  4) |  3.336, 3.336 |
|           |               ||           |               || (121,  5) |  4.371, 4.371 |
|           |               ||           |               || (121,  6) |  5.405, 5.405 |
|           |               ||           |               || (122,  4) |  3.336, 3.336 |
|           |               ||           |               || (122,  5) |  4.371, 4.371 |
|           |               ||           |               || (122,  6) |  5.405, 5.405 |
|           |               ||           |               || (123,  4) |  3.336, 3.336 |
|           |               ||           |               || (123,  5) |  4.371, 4.371 |
|           |               ||           |               || (123,  6) |  5.405, 5.405 |
|           |               ||           |               || (124,  4) |  3.336, 3.336 |
|           |               ||           |               || (124,  5) |  4.371, 4.371 |
|           |               ||           |               || (124,  6) |  5.405, 5.405 |
|           |               ||           |               || (125,  4) |  3.336, 3.336 |
|           |               ||           |               || (125,  5) |  4.371, 4.371 |
|           |               ||           |               || (125,  6) |  5.405, 5.405 |
|           |               ||           |               || (126,  4) |  3.336, 3.336 |
|           |               ||           |               || (126,  5) |  4.371, 4.371 |
|           |               ||           |               || (126,  6) |  5.405, 5.405 |
|           |               ||           |               || (127,  4) |  3.336, 3.336 |
|           |               ||           |               || (127,  5) |  4.371, 4.371 |
|           |               ||           |               || (127,  6) |  5.405, 5.405 |
|           |               ||           |               || (128,  4) |  3.336, 3.336 |
|           |               ||           |               || (128,  5) |  4.371, 4.371 |
|           |               ||           |               || (128,  6) |  5.405, 5.405 |
|           |               ||           |               || (129,  4) |  3.336, 3.336 |
|           |               ||           |               || (129,  5) |  4.371, 4.371 |
|           |               ||           |               || (129,  6) |  5.405, 5.405 |
|           |               ||           |               || (130,  4) |  3.336, 3.336 |
|           |               ||           |               || (130,  5) |  4.371, 4.371 |
|           |               ||           |               || (130,  6) |  5.405, 5.405 |
|           |               ||           |               || (131,  4) |  3.336, 3.336 |
|           |               ||           |               || (131,  5) |  4.371, 4.371 |
|           |               ||           |               || (131,  6) |  5.405, 5.405 |
|           |               ||           |               || (132,  4) |  3.336, 3.336 |
|           |               ||           |               || (132,  5) |  4.371, 4.371 |
|           |               ||           |               || (132,  6) |  5.405, 5.405 |
|           |               ||           |               || (133,  4) |  3.336, 3.336 |
|           |               ||           |               || (133,  5) |  4.371, 4.371 |
|           |               ||           |               || (133,  6) |  5.405, 5.405 |
|           |               ||           |               || (134,  4) |  3.336, 3.336 |
|           |               ||           |               || (134,  5) |  4.371, 4.371 |
|           |               ||           |               || (134,  6) |  5.405, 5.405 |
|           |               ||           |               || (135,  4) |  3.336, 3.336 |
|           |               ||           |               || (135,  5) |  4.371, 4.371 |
|           |               ||           |               || (135,  6) |  5.405, 5.405 |
|           |               ||           |               || (136,  4) |  3.336, 3.336 |
|           |               ||           |               || (136,  5) |  4.371, 4.371 |
|           |               ||           |               || (136,  6) |  5.405, 5.405 |
|           |               ||           |               || (137,  4) |  3.336, 3.336 |
|           |               ||           |               || (137,  5) |  4.371, 4.371 |
|           |               ||           |               || (137,  6) |  5.405, 5.405 |
|           |               ||           |               || (138,  4) |  3.336, 3.336 |
|           |               ||           |               || (138,  5) |  4.371, 4.371 |
|           |               ||           |               || (138,  6) |  5.405, 5.405 |
|           |               ||           |               || (139,  4) |  3.336, 3.336 |
|           |               ||           |               || (139,  5) |  4.371, 4.371 |
|           |               ||           |               || (139,  6) |  5.405, 5.405 |
|           |               ||           |               || (140,  4) |  3.336, 3.336 |
|           |               ||           |               || (140,  5) |  4.371, 4.371 |
|           |               ||           |               || (140,  6) |  5.405, 5.405 |
|           |               ||           |               || (141,  4) |  3.336, 3.336 |
|           |               ||           |               || (141,  5) |  4.371, 4.371 |
|           |               ||           |               || (141,  6) |  5.405, 5.405 |
|           |               ||           |               || (142,  4) |  3.336, 3.336 |
|           |               ||           |               || (142,  5) |  4.371, 4.371 |
|           |               ||           |               || (142,  6) |  5.405, 5.405 |
|           |               ||           |               || (143,  4) |  3.336, 3.336 |
|           |               ||           |               || (143,  5) |  4.371, 4.371 |
|           |               ||           |               || (143,  6) |  5.405, 5.405 |
|           |               ||           |               || (144,  4) |  3.336, 3.336 |
|           |               ||           |               || (144,  5) |  4.371, 4.371 |
|           |               ||           |               || (144,  6) |  5.405, 5.405 |
|           |               ||           |               || (145,  4) |  3.336, 3.336 |
|           |               ||           |               || (145,  5) |  4.371, 4.371 |
|           |               ||           |               || (145,  6) |  5.405, 5.405 |
|           |               ||           |               || (146,  4) |  3.336, 3.336 |
|           |               ||           |               || (146,  5) |  4.371, 4.371 |
|           |               ||           |               || (146,  6) |  5.405, 5.405 |
|           |               ||           |               || (147,  4) |  3.336, 3.336 |
|           |               ||           |               || (147,  5) |  4.371, 4.371 |
|           |               ||           |               || (147,  6) |  5.405, 5.405 |
|           |               ||           |               || (148,  4) |  3.336, 3.336 |
|           |               ||           |               || (148,  5) |  4.371, 4.371 |
|           |               ||           |               || (148,  6) |  5.405, 5.405 |
|           |               ||           |               || (149,  4) |  3.336, 3.336 |
|           |               ||           |               || (149,  5) |  4.371, 4.371 |
|           |               ||           |               || (149,  6) |  5.405, 5.405 |
|           |               ||           |               || (150,  4) |  3.336, 3.336 |
|           |               ||           |               || (150,  5) |  4.371, 4.371 |
|           |               ||           |               || (150,  6) |  5.405, 5.405 |
|           |               ||           |               || (151,  4) |  3.336, 3.336 |
|           |               ||           |               || (151,  5) |  4.371, 4.371 |
|           |               ||           |               || (151,  6) |  5.405, 5.405 |
|           |               ||           |               || (152,  4) |  3.336, 3.336 |
|           |               ||           |               || (152,  5) |  4.371, 4.371 |
|           |               ||           |               || (152,  6) |  5.405, 5.405 |
|           |               ||           |               || (153,  4) |  3.336, 3.336 |
|           |               ||           |               || (153,  5) |  4.371, 4.371 |
|           |               ||           |               || (153,  6) |  5.405, 5.405 |
|           |               ||           |               || (154,  4) |  3.336, 3.336 |
|           |               ||           |               || (154,  5) |  4.371, 4.371 |
|           |               ||           |               || (154,  6) |  5.405, 5.405 |
|           |               ||           |               || (155,  4) |  3.336, 3.336 |
|           |               ||           |               || (155,  5) |  4.371, 4.371 |
|           |               ||           |               || (155,  6) |  5.405, 5.405 |
|           |               ||           |               || (156,  4) |  3.336, 3.336 |
|           |               ||           |               || (156,  5) |  4.371, 4.371 |
|           |               ||           |               || (156,  6) |  5.405, 5.405 |
|           |               ||           |               || (157,  4) |  3.336, 3.336 |
|           |               ||           |               || (157,  5) |  4.371, 4.371 |
|           |               ||           |               || (157,  6) |  5.405, 5.405 |
|           |               ||           |               || (158,  4) |  3.336, 3.336 |
|           |               ||           |               || (158,  5) |  4.371, 4.371 |
|           |               ||           |               || (158,  6) |  5.405, 5.405 |
|           |               ||           |               || (159,  4) |  3.336, 3.336 |
|           |               ||           |               || (159,  5) |  4.371, 4.371 |
|           |               ||           |               || (159,  6) |  5.405, 5.405 |
|           |               ||           |               || (160,  4) |  3.336, 3.336 |
|           |               ||           |               || (160,  5) |  4.371, 4.371 |
|           |               ||           |               || (160,  6) |  5.405, 5.405 |
|           |               ||           |               || (161,  4) |  3.336, 3.336 |
|           |               ||           |               || (161,  5) |  4.371, 4.371 |
|           |               ||           |               || (161,  6) |  5.405, 5.405 |
|           |               ||           |               || (162,  4) |  3.336, 3.336 |
|           |               ||           |               || (162,  5) |  4.371, 4.371 |
|           |               ||           |               || (162,  6) |  5.405, 5.405 |
|           |               ||           |               || (163,  4) |  3.336, 3.336 |
|           |               ||           |               || (163,  5) |  4.371, 4.371 |
|           |               ||           |               || (163,  6) |  5.405, 5.405 |
|           |               ||           |               || (164,  4) |  3.336, 3.336 |
|           |               ||           |               || (164,  5) |  4.371, 4.371 |
